Store,David's Quick Mart,,,,,,,,
TaxCategory,Food,0.07,1/1/15,,,,,,
TaxCategory,Beverage,0,1/1/15,,,,,,
Cashier,1,David,111-11-1111,1 1st Street,Edmond,OK,73034,405.348.1111,password1
Cashier,2,Sally,222-22-2222,2 2nd Street,Edmond,OK,73034,405.348.2222,password2
Item,1001,24000162896,Frecch Style Green Beans,Food,2.59,1/1/15,2.29,10/30/15,11/30/15
Item,1002,24000162995,Sliced Carrots,Food,2.59,1/1/15,,,
Item,1003,33333333333,Coke,Beverage,0.97,1/1/15,0.79,9/1/15,10/1/15
Item,1004,44444444444,Dr. Pepper,Beverage,0.97,1/1/15,0.79,10/30/15,11/30/15
Register,1,,,,,,,,
Register,2,,,,,,,,
Session,1,2,,,,,,,
Sale,Y,,,,,,,,
SaleLineItem,1001,1,,,,,,,
SaleLineItem,1002,2,,,,,,,
Payment,Cash,7.47,10.00,,,,,,
Sale,N,,,,,,,,
SaleLineItem,1003,2,,,,,,,
SaleLineItem,1004,1,,,,,,,
Payment,Credit,2.73,2.73,MC,1111222244445550,10/1/2017,,,
Session,2,1,,,,,,,
Sale,N,,,,,,,,
SaleLineItem,1001,1,,,,,,,
SaleLineItem,1003,2,,,,,,,
Payment,Cash,4.39,5.00,,,,,,
Sale,N,,,,,,,,
SaleLineItem,1002,2,,,,,,,
SaleLineItem,1004,1,,,,,,,
Payment,Check,6.51,6.51,1010101010,111111111,1001,,,
